"quad","year","species","count","cover"
"A3P",1922,"Solanum elaeagnifolium",3,"NA"
"A3P",1922,"Sphaeralcea spp.",1,"NA"
"A3P",1922,"Weed","NA",0.1
"A3P",1923,"Aristida adscensionis","NA",0.08
"A3P",1923,"Bouteloua aristidoides","NA",0.08
"A3P",1923,"Eragrostis intermedia","NA",0.08
"A3P",1923,"Evolvulus arizonicus",2,"NA"
"A3P",1923,"Solanum elaeagnifolium",2,"NA"
"A3P",1923,"Sphaeralcea spp.",2,"NA"
"A3P",1924,"Solanum elaeagnifolium",1,"NA"
"A3P",1924,"Sphaeralcea spp.",8,"NA"
"A5P",1920,"Ambrosia artemisiifolia",10,"NA"
"A5P",1920,"Evolvulus arizonicus",14,"NA"
"A5P",1920,"Unknown Forb",14,"NA"
"A5P",1921,"Ambrosia artemisiifolia",3,"NA"
"A5P",1921,"Evolvulus arizonicus",16,"NA"
"A5P",1922,"Ambrosia artemisiifolia",9,"NA"
"A5P",1922,"Evolvulus arizonicus",17,"NA"
"A5P",1922,"Sphaeralcea spp.",5,"NA"
"A5P",1923,"Ambrosia artemisiifolia",5,"NA"
"A5P",1923,"Aristida adscensionis","NA",0.05
"A5P",1923,"Bouteloua aristidoides","NA",0.05
"A5P",1923,"Panicum hirticaule","NA",0.05
"A5P",1923,"Weed","NA",0.05
"A5P",1924,"Ambrosia artemisiifolia",8,"NA"
"A5P",1924,"Evolvulus arizonicus",10,"NA"
"A5P",1924,"Sphaeralcea spp.",2,"NA"
"A5P",1927,"Ambrosia artemisiifolia",7,"NA"
"A5P",1927,"Evolvulus arizonicus",4,"NA"
"A5P",1927,"Sphaeralcea spp.",2,"NA"
"A5P",1927,"Unknown",2,"NA"
"A5P",1928,"Ambrosia artemisiifolia",7,"NA"
"A5P",1928,"Annual grass","NA",0.1
"A5P",1928,"Evolvulus arizonicus",1,"NA"
"A5P",1928,"Hoffmannseggia spp.",7,"NA"
"A5P",1928,"Sphaeralcea spp.",4,"NA"
"A5P",1928,"Unknown",2,"NA"
"A5P",1929,"Ambrosia artemisiifolia",4,"NA"
"A5P",1929,"Aristida adscensionis","NA",0.04
"A5P",1929,"Bouteloua aristidoides","NA",0.04
"A5P",1929,"Eriogonum wrightii",1,"NA"
"A5P",1929,"Sphaeralcea spp.",6,"NA"
"A5P",1929,"Unknown",2,"NA"
"A5P",1930,"Ambrosia artemisiifolia",10,"NA"
"A5P",1930,"Eriogonum wrightii",6,"NA"
"A5P",1930,"Evolvulus arizonicus",4,"NA"
"A5P",1930,"Machaeranthera canescens",24,"NA"
"A5P",1930,"Unknown",6,"NA"
"A5P",1931,"Ambrosia artemisiifolia",4,"NA"
"A5P",1931,"Bouteloua aristidoides","NA",0.04
"A5P",1931,"Eriogonum wrightii",18,"NA"
"A5P",1931,"Evolvulus arizonicus",7,"NA"
"A5P",1931,"Sphaeralcea spp.",4,"NA"
"A5P",1931,"Unknown",5,"NA"
"A5P",1931,"Unknown Forb",2,"NA"
"A5P",1932,"Ambrosia artemisiifolia",19,"NA"
"A5P",1932,"Annual grass","NA",0.01
"A5P",1932,"Evolvulus arizonicus",7,"NA"
"A5P",1932,"Unknown Forb",6,"NA"
"AW1",1922,"Ambrosia artemisiifolia",1,"NA"
"AW1",1922,"Bouteloua aristidoides","NA",0.1
"AW1",1923,"Aristida adscensionis","NA",0.2
"AW1",1923,"Bouteloua aristidoides","NA",0.2
"AW1",1923,"Eragrostis intermedia","NA",0.2
"AW1",1924,"Ambrosia artemisiifolia",1,"NA"
"AW1",1924,"Unknown",1,"NA"
"AW2",1922,"Boerhavia purpurascens",3,"NA"
"AW2",1922,"Unknown",5,"NA"
"AW2",1923,"Ambrosia artemisiifolia",4,"NA"
"AW2",1923,"Aristida adscensionis","NA",0.03
"AW2",1923,"Bouteloua aristidoides","NA",0.03
"AW2",1923,"Weed","NA",0.03
"AW2",1924,"Ambrosia artemisiifolia",3,"NA"
"AW2",1924,"Croton pottsii",1,"NA"
"AW2",1924,"Sphaeralcea spp.",1,"NA"
"AW2",1924,"Unknown Forb",3,"NA"
"AW2",1927,"Ambrosia artemisiifolia",8,"NA"
"AW2",1927,"Isocoma tenuisecta",1,"NA"
"AW2",1927,"Portulaca spp.",40,"NA"
"AW2",1928,"Annual grass","NA",0.01
"AW2",1929,"Aristida adscensionis","NA",0.01
"AW2",1929,"Bouteloua aristidoides","NA",0.01
"AW2",1931,"Bouteloua aristidoides","NA",0.06
"AW2",1932,"Annual grass","NA",0.05
"AW2",1932,"Boerhavia purpurascens",1,"NA"
"AW2",1932,"Euphorbia spp.",5,"NA"
"AW2",1932,"Solanum elaeagnifolium",2,"NA"
"AW3",1922,"Machaeranthera canescens",14,"NA"
"AW3",1922,"Solanum elaeagnifolium",2,"NA"
"AW3",1922,"Unknown",1,"NA"
"AW3",1923,"Aristida adscensionis","NA",0.01
"AW3",1923,"Bouteloua aristidoides","NA",0.01
"AW3",1923,"Solanum elaeagnifolium",1,"NA"
"AW3",1923,"Weed","NA",0.02
"AW3",1924,"Unknown Forb",6,"NA"
"AW3",1927,"Ambrosia artemisiifolia",1,"NA"
"AW3",1927,"Machaeranthera canescens",6,"NA"
"AW3",1927,"Portulaca spp.",15,"NA"
"AW3",1927,"Sphaeralcea spp.",1,"NA"
"AW3",1928,"Boerhavia purpurascens",1,"NA"
"AW3",1928,"Machaeranthera canescens",3,"NA"
"AW3",1929,"Aristida adscensionis","NA","t"
"AW3",1929,"Bouteloua aristidoides","NA","t"
"AW3",1931,"Bouteloua aristidoides",8,"NA"
"AW4",1922,"Eriogonum wrightii",1,"NA"
"AW4",1922,"Sphaeralcea spp.",1,"NA"
"AW4",1922,"Unknown",3,"NA"
"AW4",1923,"Aristida adscensionis","NA",0.2
"AW4",1923,"Bouteloua aristidoides","NA",0.2
"AW4",1924,"Sphaeralcea spp.",3,"NA"
"AW4",1927,"Aristida adscensionis",3,"NA"
"AW4",1927,"Bouteloua aristidoides",20,"NA"
"AW4",1927,"Portulaca spp.",1,"NA"
"AW4",1927,"Sphaeralcea spp.",1,"NA"
"AW4",1928,"Aristida adscensionis",6,"NA"
"AW4",1929,"Aristida adscensionis","NA","t"
"AW4",1929,"Bouteloua aristidoides","NA","t"
"AW4",1932,"Grindelia spp.",1,"NA"
"AW4",1932,"Unknown",1,"NA"
"AW5",1922,"Ambrosia artemisiifolia",3,"NA"
"AW5",1922,"Evolvulus arizonicus",3,"NA"
"AW5",1923,"Aristida adscensionis","NA",0.04
"AW5",1923,"Bouteloua aristidoides","NA",0.04
"AW5",1923,"Panicum hirticaule","NA",0.04
"AW5",1923,"Weed","NA",0.03
"AW5",1924,"Ambrosia artemisiifolia",1,"NA"
"AW5",1924,"Evolvulus arizonicus",1,"NA"
"AW5",1927,"Ambrosia artemisiifolia",11,"NA"
"AW5",1927,"Boerhavia purpurascens",1,"NA"
"AW5",1927,"Bouteloua aristidoides","NA",0.05
"AW5",1927,"Evolvulus arizonicus",1,"NA"
"AW5",1927,"Portulaca spp.",5,"NA"
"AW5",1927,"Sphaeralcea spp.",1,"NA"
"AW5",1928,"Ambrosia artemisiifolia",18,"NA"
"AW5",1928,"Annual grass","NA",0.01
"AW5",1928,"Evolvulus arizonicus",1,"NA"
"AW5",1929,"Ambrosia artemisiifolia",19,"NA"
"AW5",1929,"Aristida adscensionis","NA",0.04
"AW5",1929,"Bouteloua aristidoides","NA",0.04
"AW5",1929,"Evolvulus arizonicus",3,"NA"
"AW5",1929,"Sphaeralcea spp.",2,"NA"
"AW5",1930,"Ambrosia artemisiifolia",5,"NA"
"AW5",1930,"Evolvulus arizonicus",2,"NA"
"AW5",1931,"Ambrosia artemisiifolia",14,"NA"
"AW5",1931,"Annual grass","NA","t"
"AW5",1931,"Evolvulus arizonicus",1,"NA"
"AW5",1932,"Ambrosia artemisiifolia",15,"NA"
"AW5",1932,"Annual grass","NA",0.02
"B1P",1920,"Ambrosia artemisiifolia",38,"NA"
"B1P",1920,"Bouteloua aristidoides","NA","t"
"B1P",1920,"Unknown Forb",49,"NA"
"B1P",1922,"Ambrosia artemisiifolia",12,"NA"
"B1P",1923,"Ambrosia artemisiifolia",1,"NA"
"B1P",1923,"Aristida adscensionis","NA",0.03
"B1P",1923,"Bouteloua aristidoides","NA",0.03
"B1P",1923,"Weed","NA",0.02
"B1P",1924,"Ambrosia artemisiifolia",2,"NA"
"B1P",1924,"Unknown Forb",2,"NA"
"B1P",1927,"Aristida adscensionis","NA","t"
"B1P",1927,"Bouteloua aristidoides","NA","t"
"B1P",1932,"Bouteloua aristidoides",1,"NA"
"B2P",1918,"Boerhavia purpurascens",2,"NA"
"B2P",1920,"Eriogonum wrightii",10,"NA"
"B2P",1920,"Sphaeralcea spp.",1,"NA"
"B2P",1920,"Unknown",4,"NA"
"B2P",1921,"Annual grass","NA",0.1
"B2P",1922,"Sphaeralcea spp.",1,"NA"
"B2P",1923,"Aristida adscensionis","NA",0.08
"B2P",1923,"Bouteloua aristidoides","NA",0.08
"B2P",1923,"Sphaeralcea spp.",3,"NA"
"B2P",1923,"Weed","NA",0.03
"B2P",1924,"Sphaeralcea spp.",1,"NA"
"B2P",1926,"Ambrosia artemisiifolia",1,"NA"
"B2P",1926,"Aristida adscensionis",130,"NA"
"B2P",1926,"Bouteloua aristidoides",300,"NA"
"B2P",1926,"Isocoma tenuisecta",1,"NA"
"B2P",1926,"Weed",1,"NA"
"B2P",1927,"Aristida adscensionis","NA",0.2
"B2P",1927,"Bouteloua aristidoides","NA",0.2
"B2P",1927,"Isocoma tenuisecta",2,"NA"
"B2P",1928,"Ambrosia artemisiifolia",4,"NA"
"B2P",1928,"Annual grass","NA",0.03
"B2P",1928,"Bouteloua aristidoides","NA",0.02
"B2P",1928,"Sphaeralcea spp.",3,"NA"
"B2P",1931,"Annual grass","NA",0.05
"B2P",1932,"Annual grass","NA",0.01
"B2P",1933,"Annual grass","NA",0.1
"B2P",1933,"Boerhavia purpurascens",3,"NA"
"B3P",1920,"Unknown","NA",0.1
"B3P",1922,"Sphaeralcea spp.",2,"NA"
"B3P",1923,"Aristida adscensionis","NA",0.01
"B3P",1923,"Bouteloua aristidoides","NA",0.01
"B3P",1923,"Evolvulus arizonicus",2,"NA"
"B3P",1923,"Isocoma tenuisecta",1,"NA"
"B3P",1924,"Isocoma tenuisecta",2,"NA"
"B4P",1920,"Bouteloua aristidoides","NA","t"
"B4P",1920,"Eriogonum wrightii",11,"NA"
"B4P",1920,"Machaeranthera canescens",29,"NA"
"B4P",1920,"Panicum hirticaule","NA","t"
"B4P",1920,"Unknown",9,"NA"
"B4P",1921,"Sida spinosa",1,"NA"
"B4P",1921,"Solanum elaeagnifolium",3,"NA"
"B4P",1921,"Tidestromia lanuginosa",5,"NA"
"B4P",1921,"Unknown","NA",0.2
"B4P",1922,"Machaeranthera canescens",16,"NA"
"B4P",1922,"Solanum elaeagnifolium",4,"NA"
"B4P",1922,"Sphaeralcea spp.",4,"NA"
"B4P",1923,"Aristida adscensionis","NA",0.15
"B4P",1923,"Bouteloua aristidoides","NA",0.15
"B4P",1923,"Solanum elaeagnifolium",4,"NA"
"B4P",1923,"Sphaeralcea spp.",4,"NA"
"B4P",1924,"Ambrosia artemisiifolia",4,"NA"
"B4P",1924,"Aristida adscensionis","NA",0.02
"B4P",1924,"Bouteloua aristidoides","NA",0.02
"B4P",1924,"Solanum elaeagnifolium",3,"NA"
"B4P",1924,"Sphaeralcea spp.",2,"NA"
"B4P",1924,"Unknown Forb",13,"NA"
"B4P",1927,"Ambrosia artemisiifolia",3,"NA"
"B4P",1927,"Aristida adscensionis","NA",0.01
"B4P",1927,"Bouteloua aristidoides","NA",0.01
"B4P",1927,"Eriogonum wrightii",1,"NA"
"B4P",1927,"Isocoma tenuisecta",1,"NA"
"B4P",1927,"Machaeranthera canescens",4,"NA"
"B4P",1927,"Solanum elaeagnifolium",3,"NA"
"B4P",1927,"Sphaeralcea spp.",2,"NA"
"B4P",1928,"Ambrosia artemisiifolia",4,"NA"
"B4P",1928,"Annual grass","NA",0.02
"B4P",1928,"Machaeranthera canescens",7,"NA"
"B4P",1928,"Solanum elaeagnifolium",2,"NA"
"B4P",1929,"Ambrosia artemisiifolia",3,"NA"
"B4P",1929,"Aristida adscensionis","NA","t"
"B4P",1929,"Bouteloua aristidoides","NA","t"
"B4P",1929,"Eriogonum wrightii",1,"NA"
"B4P",1929,"Solanum elaeagnifolium",2,"NA"
"B5P",1920,"Ambrosia artemisiifolia",17,"NA"
"B5P",1920,"Machaeranthera canescens",1,"NA"
"B5P",1920,"Machaeranthera canescens",1,"NA"
"B5P",1920,"Unknown Forb",10,"NA"
"B5P",1921,"Ambrosia artemisiifolia",14,"NA"
"B5P",1922,"Ambrosia artemisiifolia",29,"NA"
"B5P",1922,"Eriogonum wrightii",1,"NA"
"B5P",1922,"Evolvulus arizonicus",2,"NA"
"B5P",1923,"Ambrosia artemisiifolia",14,"NA"
"B5P",1923,"Aristida adscensionis","NA",0.03
"B5P",1923,"Bouteloua aristidoides","NA",0.02
"B5P",1923,"Eragrostis intermedia","NA",0.01
"B5P",1924,"Ambrosia artemisiifolia",14,"NA"
"B5P",1924,"Evolvulus arizonicus",2,"NA"
"B5P",1927,"Ambrosia artemisiifolia",15,"NA"
"B5P",1927,"Aristida adscensionis","NA",0.01
"B5P",1927,"Bouteloua aristidoides","NA",0.01
"B5P",1927,"Eriogonum wrightii",2,"NA"
"B5P",1928,"Ambrosia artemisiifolia",3,"NA"
"B5P",1928,"Annual grass","NA",0.01
"B5P",1928,"Evolvulus arizonicus",3,"NA"
"B5P",1929,"Ambrosia artemisiifolia",4,"NA"
"B5P",1929,"Aristida adscensionis","NA",0.02
"B5P",1929,"Bouteloua aristidoides","NA",0.02
"B5P",1929,"Eriogonum wrightii",1,"NA"
"B5P",1929,"Evolvulus arizonicus",2,"NA"
"B5P",1929,"Unknown Forb",1,"NA"
"B5P",1930,"Ambrosia artemisiifolia",7,"NA"
"B5P",1930,"Eriogonum wrightii",3,"NA"
"B5P",1930,"Evolvulus arizonicus",2,"NA"
"B5P",1930,"Machaeranthera canescens",10,"NA"
"B5P",1931,"Ambrosia artemisiifolia",14,"NA"
"B5P",1931,"Annual grass","NA","t"
"B5P",1931,"Evolvulus arizonicus",4,"NA"
"B5P",1931,"Unknown Forb",1,"NA"
"B5P",1932,"Ambrosia artemisiifolia",36,"NA"
"B5P",1932,"Evolvulus arizonicus",2,"NA"
"B5P",1932,"Unknown Forb",2,"NA"
"BW1",1922,"Ambrosia artemisiifolia",10,"NA"
"BW1",1922,"Evolvulus arizonicus",1,"NA"
"BW1",1922,"Machaeranthera canescens",2,"NA"
"BW1",1922,"Sphaeralcea spp.",5,"NA"
"BW1",1922,"Unknown",7,"NA"
"BW1",1923,"Aristida adscensionis","NA",0.04
"BW1",1923,"Bouteloua aristidoides","NA",0.04
"BW1",1923,"Unknown",5,"NA"
"BW1",1923,"Weed","NA",0.01
"BW1",1924,"Eriogonum wrightii",2,"NA"
"BW1",1924,"Evolvulus arizonicus",2,"NA"
"BW1",1924,"Panicum hirticaule",4,"NA"
"BW1",1924,"Unknown Forb",10,"NA"
"BW1",1927,"Ambrosia artemisiifolia",16,"NA"
"BW1",1927,"Isocoma tenuisecta",1,"NA"
"BW1",1927,"Machaeranthera canescens",4,"NA"
"BW1",1927,"Unknown Forb",16,"NA"
"BW1",1928,"Ambrosia artemisiifolia",13,"NA"
"BW1",1928,"Annual grass","NA",0.01
"BW1",1928,"Machaeranthera canescens","NA","t"
"BW1",1928,"Sphaeralcea spp.",1,"NA"
"BW1",1928,"Unknown Forb","NA","t"
"BW1",1929,"Ambrosia artemisiifolia",10,"NA"
"BW1",1929,"Bouteloua aristidoides","NA",0.02
"BW1",1929,"Machaeranthera canescens",8,"NA"
"BW1",1929,"Sphaeralcea spp.",1,"NA"
"BW1",1929,"Unknown",2,"NA"
"BW1",1929,"Unknown Forb",18,"NA"
"BW1",1930,"Ambrosia artemisiifolia",7,"NA"
"BW1",1930,"Machaeranthera canescens",78,"NA"
"BW1",1931,"Ambrosia artemisiifolia",9,"NA"
"BW1",1931,"Bouteloua aristidoides","NA",0.06
"BW1",1931,"Machaeranthera canescens",3,"NA"
"BW1",1931,"Sphaeralcea spp.",4,"NA"
"BW1",1931,"Unknown",3,"NA"
"BW1",1931,"Unknown Forb",24,"NA"
"BW1",1932,"Ambrosia artemisiifolia",6,"NA"
"BW1",1932,"Annual grass","NA",0.02
"BW1",1932,"Boerhavia purpurascens",1,"NA"
"BW2",1922,"Ambrosia artemisiifolia",14,"NA"
"BW2",1922,"Eriogonum wrightii",6,"NA"
"BW2",1922,"Machaeranthera canescens",4,"NA"
"BW2",1922,"Portulaca spp.","NA","t"
"BW2",1923,"Aristida adscensionis","NA",0.05
"BW2",1923,"Bouteloua aristidoides","NA",0.05
"BW2",1923,"Solanum elaeagnifolium",1,"NA"
"BW2",1924,"Eriogonum wrightii",9,"NA"
"BW2",1924,"Unknown Forb",3,"NA"
"BW2",1927,"Ambrosia artemisiifolia",1,"NA"
"BW2",1927,"Aristida adscensionis","NA",0.01
"BW2",1927,"Bouteloua aristidoides","NA",0.01
"BW2",1927,"Eragrostis intermedia",1,"NA"
"BW2",1927,"Machaeranthera canescens",2,"NA"
"BW2",1927,"Solanum elaeagnifolium",2,"NA"
"BW2",1928,"Ambrosia artemisiifolia",2,"NA"
"BW2",1928,"Annual grass","NA",0.05
"BW2",1928,"Solanum elaeagnifolium",3,"NA"
"BW2",1928,"Sphaeralcea spp.",2,"NA"
"BW2",1929,"Bouteloua aristidoides","NA",0.02
"BW2",1929,"Portulaca spp.",1,"NA"
"BW2",1929,"Solanum elaeagnifolium",4,"NA"
"BW2",1929,"Sphaeralcea spp.",1,"NA"
"BW2",1930,"Machaeranthera canescens",4,"NA"
"BW2",1930,"Solanum elaeagnifolium",2,"NA"
"BW2",1931,"Annual grass","NA",0.03
"BW2",1933,"Annual grass","NA","t"
"BW2",1933,"Solanum elaeagnifolium",2,"NA"
"BW3",1922,"Ambrosia artemisiifolia",1,"NA"
"BW3",1922,"Machaeranthera canescens",1,"NA"
"BW3",1922,"Portulaca spp.","NA","t"
"BW3",1923,"Aristida adscensionis","NA",0.04
"BW3",1923,"Bouteloua aristidoides","NA",0.04
"BW3",1923,"Panicum hirticaule","NA",0.04
"BW3",1923,"Weed","NA",0.02
"BW3",1924,"Machaeranthera canescens",1,"NA"
"BW3",1924,"Sphaeralcea spp.",3,"NA"
"BW3",1927,"Aristida adscensionis","NA",0.01
"BW3",1927,"Bouteloua aristidoides","NA",0.01
"BW3",1927,"Sphaeralcea spp.",1,"NA"
"BW3",1928,"Annuals","NA",0.03
"BW3",1929,"Machaeranthera canescens",2,"NA"
"BW3",1929,"Portulaca spp.",1,"NA"
"BW3",1929,"Sphaeralcea spp.",1,"NA"
"BW3",1930,"Machaeranthera canescens",10,"NA"
"BW3",1930,"Unknown",1,"NA"
"BW3",1931,"Annual grass","NA","t"
"BW3",1931,"Machaeranthera canescens",1,"NA"
"BW3",1931,"Unknown",1,"NA"
"BW3",1932,"Annual grass","NA","t"
"BW3",1932,"Sphaeralcea spp.",11,"NA"
"BW3",1933,"Annual grass","NA","t"
"BW3",1933,"Sphaeralcea spp.",1,"NA"
"BW4",1922,"Ambrosia artemisiifolia",26,"NA"
"BW4",1922,"Sphaeralcea spp.",3,"NA"
"BW4",1922,"Unknown",3,"NA"
"BW4",1922,"Vulpia octoflora",3,"NA"
"BW4",1922,"Weed",2,"NA"
"BW4",1923,"Aristida adscensionis","NA",0.05
"BW4",1923,"Bouteloua aristidoides","NA",0.05
"BW4",1923,"Sphaeralcea spp.",1,"NA"
"BW4",1927,"Ambrosia artemisiifolia",5,"NA"
"BW4",1927,"Aristida adscensionis","NA",0.03
"BW4",1927,"Bouteloua aristidoides","NA",0.03
"BW4",1928,"Ambrosia artemisiifolia",4,"NA"
"BW4",1928,"Annuals","NA",0.05
"BW4",1928,"Sphaeralcea spp.",2,"NA"
"BW4",1929,"Ambrosia artemisiifolia",3,"NA"
"BW4",1929,"Aristida adscensionis","NA",0.05
"BW4",1929,"Bouteloua aristidoides","NA",0.05
"BW4",1929,"Sphaeralcea spp.",3,"NA"
"BW4",1930,"Ambrosia artemisiifolia",4,"NA"
"BW4",1930,"Sphaeralcea spp.",1,"NA"
"BW4",1931,"Ambrosia artemisiifolia",1,"NA"
"BW4",1931,"Annual grass","NA",0.01
"BW4",1931,"Sphaeralcea spp.",3,"NA"
"BW4",1932,"Ambrosia artemisiifolia",2,"NA"
"BW4",1932,"Annual grass","NA",0.01
"BW4",1932,"Unknown",3,"NA"
"BW5",1922,"Ambrosia artemisiifolia",10,"NA"
"BW5",1922,"Unknown",1,"NA"
"BW5",1923,"Aristida adscensionis","NA",0.05
"BW5",1923,"Bouteloua aristidoides","NA",0.05
"BW5",1923,"Weed","NA",0.01
"BW5",1924,"Ambrosia artemisiifolia",1,"NA"
"BW5",1924,"Unknown Forb",1,"NA"
"BW5",1927,"Ambrosia artemisiifolia",5,"NA"
"BW5",1927,"Unknown Forb",1,"NA"
"BW5",1928,"Ambrosia artemisiifolia",1,"NA"
"BW5",1928,"Annuals","NA",0.02
"BW5",1928,"Senecio flaccidus",2,"NA"
"BW5",1928,"Unknown Forb",8,"NA"
"BW5",1929,"Ambrosia artemisiifolia",5,"NA"
"BW5",1929,"Aristida adscensionis","NA",0.03
"BW5",1929,"Bouteloua aristidoides","NA",0.03
"BW5",1929,"Solanum elaeagnifolium",1,"NA"
"BW5",1929,"Unknown Forb",13,"NA"
"BW5",1930,"Ambrosia artemisiifolia",2,"NA"
"BW5",1930,"Machaeranthera canescens",57,"NA"
"BW5",1931,"Ambrosia artemisiifolia",3,"NA"
"BW5",1931,"Annual grass","NA","t"
"BW5",1931,"Boerhavia purpurascens",1,"NA"
"BW5",1931,"Solanum elaeagnifolium",2,"NA"
"BW5",1931,"Sphaeralcea spp.",3,"NA"
"BW5",1931,"Unknown Forb",13,"NA"
"BW5",1932,"Ambrosia artemisiifolia",2,"NA"
"BW5",1932,"Machaeranthera canescens",2,"NA"
"BW5",1932,"Solanum elaeagnifolium",2,"NA"
"BW5",1932,"Sphaeralcea spp.",1,"NA"
"BW5",1932,"Unknown",5,"NA"
"C1P",1920,"Machaeranthera canescens",1,"NA"
"C1P",1922,"Sphaeralcea spp.",1,"NA"
"C1P",1924,"Ambrosia artemisiifolia",2,"NA"
"C1P",1927,"Aristida adscensionis","NA",0.01
"C1P",1927,"Bouteloua aristidoides","NA",0.01
"C1P",1929,"Aristida adscensionis","NA",0.01
"C1P",1929,"Bouteloua aristidoides","NA",0.01
"C1P",1931,"Unknown",1,"NA"
"C1P",1932,"Euphorbia spp.",1,"NA"
"C2P",1922,"Boerhavia purpurascens",8,"NA"
"C2P",1923,"Aristida adscensionis","NA",0.05
"C2P",1923,"Bouteloua aristidoides","NA",0.05
"C2P",1923,"Unknown",6,"NA"
"C2P",1923,"Unknown","NA",0.05
"C2P",1923,"Weed","NA",0.05
"C2P",1924,"Eriogonum wrightii",7,"NA"
"C2P",1924,"Unknown",8,"NA"
"C2P",1927,"Aristida adscensionis","NA",0.05
"C2P",1927,"Bouteloua aristidoides","NA",0.05
"C2P",1927,"Eriogonum wrightii",2,"NA"
"C2P",1927,"Sphaeralcea spp.",1,"NA"
"C2P",1928,"Annual grass","NA",0.08
"C2P",1928,"Boerhavia purpurascens",2,"NA"
"C2P",1928,"Eriogonum wrightii",2,"NA"
"C2P",1930,"Annual grass","NA","t"
"C2P",1930,"Sphaeralcea spp.",1,"NA"
"C2P",1931,"Annual grass","NA","t"
"C2P",1931,"Eriogonum wrightii",3,"NA"
"C2P",1931,"Machaeranthera canescens",2,"NA"
"C2P",1931,"Sphaeralcea spp.",3,"NA"
"C2P",1931,"Unknown",2,"NA"
"C2P",1932,"Annual grass","NA",0.1
"C2P",1932,"Unknown",56,"NA"
"C2P",1934,"Annual grass","NA",0.25
"C2P",1934,"Sphaeralcea spp.",3,"NA"
"C2P",1934,"Unknown",1,"NA"
"C2RP",1920,"Unknown",10,"NA"
"C2RP",1922,"Sphaeralcea spp.",1,"NA"
"C2RP",1923,"Aristida adscensionis","NA",0.07
