"project_year","total_cover","quadrat","species"
1922,0,"A1","MUPO2"
1922,0,"A1","PAHA"
1922,0,"A1","PAOB"
1922,0,"A1","PLMU3"
1922,0,"A1","SCBR2"
1922,0,"A1","SELE6"
1922,0,"A1","SPAI"
1922,0,"A1","SPCO4"
1922,0,"A1","SPCR"
1922,0,"A1","SPFL2"
1922,0,"A1","SPORO"
1922,0,"A1","UNKG"
1923,0.0011285,"A1","ARIST"
1923,0,"A1","ARTE3"
1923,0.01643563,"A1","BOER4"
1923,0,"A1","BOUTE"
1923,0.000225,"A1","CYPER"
1923,0,"A1","DAPU7"
1923,0,"A1","ENDE"
1923,0,"A1","ERLE"
1923,0,"A1","MUAR"
1923,0,"A1","MUAR2"
1923,0,"A1","MUPO2"
1923,0,"A1","PAHA"
1923,0,"A1","PAOB"
1923,0,"A1","PLMU3"
1923,0,"A1","SCBR2"
1923,0,"A1","SELE6"
1923,0,"A1","SPAI"
1923,0,"A1","SPCO4"
1923,0,"A1","SPCR"
1923,1e-04,"A1","SPFL2"
1923,0,"A1","SPORO"
1923,0,"A1","UNKG"
1924,0.001784,"A1","ARIST"
1924,0,"A1","ARTE3"
1924,0.02586995,"A1","BOER4"
1924,0,"A1","BOUTE"
1924,0,"A1","CYPER"
1924,0,"A1","DAPU7"
1924,0,"A1","ENDE"
1924,0,"A1","ERLE"
1924,0,"A1","MUAR"
1924,0,"A1","MUAR2"
1924,0,"A1","MUPO2"
1924,0,"A1","PAHA"
1924,0,"A1","PAOB"
1924,0,"A1","PLMU3"
1924,0,"A1","SCBR2"
1924,0,"A1","SELE6"
1924,0,"A1","SPAI"
1924,0,"A1","SPCO4"
1924,0,"A1","SPCR"
1924,0,"A1","SPFL2"
1924,0,"A1","SPORO"
1924,0,"A1","UNKG"
1925,0.0007705,"A1","ARIST"
1925,0,"A1","ARTE3"
1925,0.0096215,"A1","BOER4"
1925,0,"A1","BOUTE"
1925,0,"A1","CYPER"
1925,0,"A1","DAPU7"
1925,0,"A1","ENDE"
1925,0,"A1","ERLE"
1925,0,"A1","MUAR"
1925,0,"A1","MUAR2"
1925,0,"A1","MUPO2"
1925,0,"A1","PAHA"
1925,0,"A1","PAOB"
1925,0,"A1","PLMU3"
1925,0,"A1","SCBR2"
1925,0,"A1","SELE6"
1925,0,"A1","SPAI"
1925,0,"A1","SPCO4"
1925,0,"A1","SPCR"
1925,0,"A1","SPFL2"
1925,0,"A1","SPORO"
1925,0,"A1","UNKG"
1926,0.0017155,"A1","ARIST"
1926,0,"A1","ARTE3"
1926,0.02137443,"A1","BOER4"
1926,7.5e-05,"A1","BOUTE"
1926,2.5e-05,"A1","CYPER"
1926,0,"A1","DAPU7"
1926,0,"A1","ENDE"
1926,0,"A1","ERLE"
1926,0,"A1","MUAR"
1926,0,"A1","MUAR2"
1926,0,"A1","MUPO2"
1926,0,"A1","PAHA"
1926,0,"A1","PAOB"
1926,0,"A1","PLMU3"
1926,0,"A1","SCBR2"
1926,0,"A1","SELE6"
1926,0,"A1","SPAI"
1926,0,"A1","SPCO4"
1926,0,"A1","SPCR"
1926,0,"A1","SPFL2"
1926,0,"A1","SPORO"
1926,0,"A1","UNKG"
1927,0.0044705,"A1","ARIST"
1927,0,"A1","ARTE3"
1927,0.03515745,"A1","BOER4"
1927,0,"A1","BOUTE"
1927,2.5e-05,"A1","CYPER"
1927,0,"A1","DAPU7"
1927,0,"A1","ENDE"
1927,0,"A1","ERLE"
1927,0,"A1","MUAR"
1927,0,"A1","MUAR2"
1927,0,"A1","MUPO2"
1927,0,"A1","PAHA"
1927,0,"A1","PAOB"
1927,0,"A1","PLMU3"
1927,0,"A1","SCBR2"
1927,0,"A1","SELE6"
1927,0,"A1","SPAI"
1927,0,"A1","SPCO4"
1927,0,"A1","SPCR"
1927,0,"A1","SPFL2"
1927,0,"A1","SPORO"
1927,0,"A1","UNKG"
1928,0.0052922,"A1","ARIST"
1928,0,"A1","ARTE3"
1928,0.04096617,"A1","BOER4"
1928,0,"A1","BOUTE"
1928,2.5e-05,"A1","CYPER"
1928,0,"A1","DAPU7"
1928,0,"A1","ENDE"
1928,0,"A1","ERLE"
1928,0,"A1","MUAR"
1928,0,"A1","MUAR2"
1928,0,"A1","MUPO2"
1928,0,"A1","PAHA"
1928,0,"A1","PAOB"
1928,0,"A1","PLMU3"
1928,0,"A1","SCBR2"
1928,0,"A1","SELE6"
1928,0,"A1","SPAI"
1928,0,"A1","SPCO4"
1928,0,"A1","SPCR"
1928,0,"A1","SPFL2"
1928,0,"A1","SPORO"
1928,0,"A1","UNKG"
1929,0.01302328,"A1","ARIST"
1929,0,"A1","ARTE3"
1929,0.07654482,"A1","BOER4"
1929,0,"A1","BOUTE"
1929,0,"A1","CYPER"
1929,0,"A1","DAPU7"
1929,0,"A1","ENDE"
1929,0,"A1","ERLE"
1929,0,"A1","MUAR"
1929,0,"A1","MUAR2"
1929,0,"A1","MUPO2"
1929,0,"A1","PAHA"
1929,0,"A1","PAOB"
1929,0,"A1","PLMU3"
1929,0,"A1","SCBR2"
1929,0,"A1","SELE6"
1929,0,"A1","SPAI"
1929,0,"A1","SPCO4"
1929,0,"A1","SPCR"
1929,0,"A1","SPFL2"
1929,0,"A1","SPORO"
1929,0,"A1","UNKG"
1930,0.01841719,"A1","ARIST"
1930,0,"A1","ARTE3"
1930,0.05791981,"A1","BOER4"
1930,0,"A1","BOUTE"
1930,0,"A1","CYPER"
1930,0,"A1","DAPU7"
1930,0,"A1","ENDE"
1930,0,"A1","ERLE"
1930,0,"A1","MUAR"
1930,0,"A1","MUAR2"
1930,0,"A1","MUPO2"
1930,0,"A1","PAHA"
1930,0,"A1","PAOB"
1930,0,"A1","PLMU3"
1930,0,"A1","SCBR2"
1930,0,"A1","SELE6"
1930,0,"A1","SPAI"
1930,0,"A1","SPCO4"
1930,0,"A1","SPCR"
1930,0,"A1","SPFL2"
1930,0,"A1","SPORO"
1930,0,"A1","UNKG"
1931,0.01931422,"A1","ARIST"
1931,0,"A1","ARTE3"
1931,0.04372025,"A1","BOER4"
1931,0,"A1","BOUTE"
1931,0,"A1","CYPER"
1931,0,"A1","DAPU7"
1931,0,"A1","ENDE"
1931,0,"A1","ERLE"
1931,0,"A1","MUAR"
1931,0,"A1","MUAR2"
1931,0,"A1","MUPO2"
1931,0,"A1","PAHA"
1931,0,"A1","PAOB"
1931,0,"A1","PLMU3"
1931,0,"A1","SCBR2"
1931,0,"A1","SELE6"
1931,0,"A1","SPAI"
1931,0,"A1","SPCO4"
1931,0,"A1","SPCR"
1931,0,"A1","SPFL2"
1931,0,"A1","SPORO"
1931,0,"A1","UNKG"
1932,0.02291161,"A1","ARIST"
1932,0,"A1","ARTE3"
1932,0.04377681,"A1","BOER4"
1932,0,"A1","BOUTE"
1932,0,"A1","CYPER"
1932,0,"A1","DAPU7"
1932,0,"A1","ENDE"
1932,0,"A1","ERLE"
1932,0,"A1","MUAR"
1932,0,"A1","MUAR2"
1932,0,"A1","MUPO2"
1932,0,"A1","PAHA"
1932,0,"A1","PAOB"
1932,0,"A1","PLMU3"
1932,0,"A1","SCBR2"
1932,0,"A1","SELE6"
1932,0,"A1","SPAI"
1932,0,"A1","SPCO4"
1932,0,"A1","SPCR"
1932,0,"A1","SPFL2"
1932,0,"A1","SPORO"
1932,0,"A1","UNKG"
1933,0.0293962,"A1","ARIST"
1933,0,"A1","ARTE3"
1933,0.04637352,"A1","BOER4"
1933,0,"A1","BOUTE"
1933,0,"A1","CYPER"
1933,0,"A1","DAPU7"
1933,0,"A1","ENDE"
1933,0,"A1","ERLE"
1933,0,"A1","MUAR"
1933,0,"A1","MUAR2"
1933,0,"A1","MUPO2"
1933,0,"A1","PAHA"
1933,0,"A1","PAOB"
1933,0,"A1","PLMU3"
1933,0,"A1","SCBR2"
1933,0,"A1","SELE6"
1933,0,"A1","SPAI"
1933,0,"A1","SPCO4"
1933,0,"A1","SPCR"
1933,0,"A1","SPFL2"
1933,0,"A1","SPORO"
1933,0,"A1","UNKG"
1934,0.01307904,"A1","ARIST"
1934,0,"A1","ARTE3"
1934,0.01096407,"A1","BOER4"
1934,0,"A1","BOUTE"
1934,0,"A1","CYPER"
1934,0,"A1","DAPU7"
1934,0,"A1","ENDE"
1934,0,"A1","ERLE"
1934,0,"A1","MUAR"
1934,0,"A1","MUAR2"
1934,0,"A1","MUPO2"
1934,0,"A1","PAHA"
1934,0,"A1","PAOB"
1934,0,"A1","PLMU3"
1934,0,"A1","SCBR2"
1934,0,"A1","SELE6"
1934,0,"A1","SPAI"
1934,0,"A1","SPCO4"
1934,0,"A1","SPCR"
1934,0,"A1","SPFL2"
1934,0,"A1","SPORO"
1934,0,"A1","UNKG"
1935,0.0007985,"A1","ARIST"
1935,0,"A1","ARTE3"
1935,0.003912,"A1","BOER4"
1935,0,"A1","BOUTE"
1935,1e-04,"A1","CYPER"
1935,0,"A1","DAPU7"
1935,0,"A1","ENDE"
1935,0,"A1","ERLE"
1935,0,"A1","MUAR"
1935,0,"A1","MUAR2"
1935,0,"A1","MUPO2"
1935,0,"A1","PAHA"
1935,0,"A1","PAOB"
1935,0,"A1","PLMU3"
1935,0,"A1","SCBR2"
1935,0,"A1","SELE6"
1935,0,"A1","SPAI"
1935,0,"A1","SPCO4"
1935,0,"A1","SPCR"
1935,0,"A1","SPFL2"
1935,0,"A1","SPORO"
1935,0,"A1","UNKG"
1936,0.0017025,"A1","ARIST"
1936,0,"A1","ARTE3"
1936,0.0123623,"A1","BOER4"
1936,2.5e-05,"A1","BOUTE"
1936,0,"A1","CYPER"
1936,0,"A1","DAPU7"
1936,0,"A1","ENDE"
1936,0,"A1","ERLE"
1936,0,"A1","MUAR"
1936,0,"A1","MUAR2"
1936,0,"A1","MUPO2"
1936,0,"A1","PAHA"
1936,0,"A1","PAOB"
1936,0,"A1","PLMU3"
1936,0,"A1","SCBR2"
1936,0,"A1","SELE6"
1936,0,"A1","SPAI"
1936,0,"A1","SPCO4"
1936,0,"A1","SPCR"
1936,0,"A1","SPFL2"
1936,0,"A1","SPORO"
1936,0,"A1","UNKG"
1937,0.000192,"A1","ARIST"
1937,0,"A1","ARTE3"
1937,0.0175999,"A1","BOER4"
1937,2.5e-05,"A1","BOUTE"
1937,0,"A1","CYPER"
1937,0,"A1","DAPU7"
1937,0,"A1","ENDE"
1937,0,"A1","ERLE"
1937,0,"A1","MUAR"
1937,0,"A1","MUAR2"
1937,0,"A1","MUPO2"
1937,0,"A1","PAHA"
1937,0,"A1","PAOB"
1937,0,"A1","PLMU3"
1937,0,"A1","SCBR2"
1937,0,"A1","SELE6"
1937,0,"A1","SPAI"
1937,0,"A1","SPCO4"
1937,0,"A1","SPCR"
1937,0,"A1","SPFL2"
1937,0,"A1","SPORO"
1937,0,"A1","UNKG"
1938,0.0008275,"A1","ARIST"
1938,0,"A1","ARTE3"
1938,0.0159685,"A1","BOER4"
1938,2e-04,"A1","BOUTE"
1938,0,"A1","CYPER"
1938,0,"A1","DAPU7"
1938,0,"A1","ENDE"
1938,0,"A1","ERLE"
1938,0,"A1","MUAR"
1938,0,"A1","MUAR2"
1938,0,"A1","MUPO2"
1938,0,"A1","PAHA"
1938,0,"A1","PAOB"
1938,0,"A1","PLMU3"
1938,0,"A1","SCBR2"
1938,0,"A1","SELE6"
1938,0,"A1","SPAI"
1938,0,"A1","SPCO4"
1938,0,"A1","SPCR"
1938,0,"A1","SPFL2"
1938,0,"A1","SPORO"
1938,7.5e-05,"A1","UNKG"
1939,0.0002814,"A1","ARIST"
1939,0,"A1","ARTE3"
1939,0.0251431,"A1","BOER4"
1939,0,"A1","BOUTE"
1939,0,"A1","CYPER"
1939,0,"A1","DAPU7"
1939,0,"A1","ENDE"
1939,0,"A1","ERLE"
1939,0,"A1","MUAR"
1939,0,"A1","MUAR2"
1939,0,"A1","MUPO2"
1939,0,"A1","PAHA"
1939,0,"A1","PAOB"
1939,0,"A1","PLMU3"
1939,0,"A1","SCBR2"
1939,0,"A1","SELE6"
1939,0,"A1","SPAI"
1939,0,"A1","SPCO4"
1939,0,"A1","SPCR"
1939,0,"A1","SPFL2"
1939,0,"A1","SPORO"
1939,0,"A1","UNKG"
1940,0.0004525,"A1","ARIST"
1940,0,"A1","ARTE3"
1940,0.039178,"A1","BOER4"
1940,0,"A1","BOUTE"
1940,0,"A1","CYPER"
1940,0,"A1","DAPU7"
1940,0,"A1","ENDE"
1940,0,"A1","ERLE"
1940,0,"A1","MUAR"
1940,0,"A1","MUAR2"
1940,0,"A1","MUPO2"
1940,0,"A1","PAHA"
1940,0,"A1","PAOB"
1940,0,"A1","PLMU3"
1940,0,"A1","SCBR2"
1940,0,"A1","SELE6"
1940,0,"A1","SPAI"
1940,0,"A1","SPCO4"
1940,0,"A1","SPCR"
1940,0,"A1","SPFL2"
1940,0,"A1","SPORO"
1940,0,"A1","UNKG"
1941,0.00246225,"A1","ARIST"
1941,0,"A1","ARTE3"
1941,0.0496423,"A1","BOER4"
1941,0,"A1","BOUTE"
1941,0,"A1","CYPER"
1941,0,"A1","DAPU7"
1941,0,"A1","ENDE"
1941,0,"A1","ERLE"
1941,0,"A1","MUAR"
1941,0,"A1","MUAR2"
1941,0,"A1","MUPO2"
1941,0,"A1","PAHA"
1941,0,"A1","PAOB"
1941,0,"A1","PLMU3"
1941,0,"A1","SCBR2"
1941,0,"A1","SELE6"
1941,0,"A1","SPAI"
1941,0,"A1","SPCO4"
1941,0,"A1","SPCR"
1941,0,"A1","SPFL2"
1941,0,"A1","SPORO"
1941,0,"A1","UNKG"
1942,0.008631,"A1","ARIST"
1942,0,"A1","ARTE3"
1942,0.0413515,"A1","BOER4"
1942,0,"A1","BOUTE"
1942,0,"A1","CYPER"
1942,0,"A1","DAPU7"
1942,0,"A1","ENDE"
1942,0,"A1","ERLE"
1942,0,"A1","MUAR"
1942,0,"A1","MUAR2"
1942,0,"A1","MUPO2"
1942,0,"A1","PAHA"
1942,0,"A1","PAOB"
1942,0,"A1","PLMU3"
1942,0,"A1","SCBR2"
1942,0,"A1","SELE6"
1942,0,"A1","SPAI"
1942,0,"A1","SPCO4"
1942,0,"A1","SPCR"
1942,0,"A1","SPFL2"
1942,0,"A1","SPORO"
1942,0,"A1","UNKG"
1943,0.005218,"A1","ARIST"
1943,0,"A1","ARTE3"
1943,0.035281,"A1","BOER4"
1943,0.000125,"A1","BOUTE"
1943,0,"A1","CYPER"
1943,0,"A1","DAPU7"
1943,0,"A1","ENDE"
1943,0,"A1","ERLE"
1943,0,"A1","MUAR"
1943,0,"A1","MUAR2"
1943,0,"A1","MUPO2"
1943,0,"A1","PAHA"
1943,0,"A1","PAOB"
1943,0,"A1","PLMU3"
1943,0,"A1","SCBR2"
1943,0,"A1","SELE6"
1943,0,"A1","SPAI"
1943,0,"A1","SPCO4"
1943,0,"A1","SPCR"
1943,0,"A1","SPFL2"
1943,0,"A1","SPORO"
1943,0,"A1","UNKG"
1944,0.003031,"A1","ARIST"
1944,0,"A1","ARTE3"
1944,0.0475055,"A1","BOER4"
1944,0,"A1","BOUTE"
1944,0,"A1","CYPER"
1944,0,"A1","DAPU7"
1944,0,"A1","ENDE"
1944,0,"A1","ERLE"
1944,0,"A1","MUAR"
1944,0,"A1","MUAR2"
1944,0,"A1","MUPO2"
1944,0,"A1","PAHA"
1944,0,"A1","PAOB"
1944,0,"A1","PLMU3"
1944,0,"A1","SCBR2"
1944,0,"A1","SELE6"
1944,0,"A1","SPAI"
1944,0,"A1","SPCO4"
1944,0,"A1","SPCR"
1944,0,"A1","SPFL2"
1944,0,"A1","SPORO"
1944,0,"A1","UNKG"
1945,0.005185,"A1","ARIST"
1945,0,"A1","ARTE3"
1945,0.057863,"A1","BOER4"
1945,0,"A1","BOUTE"
1945,0,"A1","CYPER"
1945,0,"A1","DAPU7"
1945,0,"A1","ENDE"
1945,0,"A1","ERLE"
1945,0,"A1","MUAR"
1945,0,"A1","MUAR2"
1945,0,"A1","MUPO2"
1945,0,"A1","PAHA"
1945,0,"A1","PAOB"
1945,0,"A1","PLMU3"
1945,0,"A1","SCBR2"
1945,0,"A1","SELE6"
1945,0,"A1","SPAI"
1945,0,"A1","SPCO4"
1945,0,"A1","SPCR"
1945,0,"A1","SPFL2"
1945,0,"A1","SPORO"
1945,0,"A1","UNKG"
1946,0.003659,"A1","ARIST"
1946,0,"A1","ARTE3"
1946,0.057407,"A1","BOER4"
1946,0,"A1","BOUTE"
1946,0,"A1","CYPER"
1946,0,"A1","DAPU7"
1946,0,"A1","ENDE"
1946,0,"A1","ERLE"
1946,0,"A1","MUAR"
1946,0,"A1","MUAR2"
1946,0,"A1","MUPO2"
1946,0,"A1","PAHA"
1946,0,"A1","PAOB"
1946,0,"A1","PLMU3"
1946,0,"A1","SCBR2"
1946,0,"A1","SELE6"
1946,0,"A1","SPAI"
1946,0,"A1","SPCO4"
1946,0,"A1","SPCR"
1946,0,"A1","SPFL2"
1946,0,"A1","SPORO"
1946,0,"A1","UNKG"
1947,0.0025835,"A1","ARIST"
1947,0,"A1","ARTE3"
1947,0.0671599,"A1","BOER4"
1947,0,"A1","BOUTE"
1947,0,"A1","CYPER"
1947,0,"A1","DAPU7"
1947,0,"A1","ENDE"
1947,0,"A1","ERLE"
1947,0,"A1","MUAR"
1947,0,"A1","MUAR2"
1947,0,"A1","MUPO2"
1947,0,"A1","PAHA"
1947,0,"A1","PAOB"
1947,0,"A1","PLMU3"
1947,0,"A1","SCBR2"
1947,0,"A1","SELE6"
1947,0,"A1","SPAI"
1947,0,"A1","SPCO4"
1947,0,"A1","SPCR"
1947,0,"A1","SPFL2"
1947,0,"A1","SPORO"
1947,0,"A1","UNKG"
1948,0.00129175,"A1","ARIST"
1948,0,"A1","ARTE3"
1948,0.0627853,"A1","BOER4"
1948,0,"A1","BOUTE"
1948,0,"A1","CYPER"
1948,0,"A1","DAPU7"
1948,0,"A1","ENDE"
1948,0,"A1","ERLE"
1948,0,"A1","MUAR"
1948,0,"A1","MUAR2"
1948,0,"A1","MUPO2"
1948,0,"A1","PAHA"
1948,0,"A1","PAOB"
1948,0,"A1","PLMU3"
1948,0,"A1","SCBR2"
1948,0,"A1","SELE6"
1948,0,"A1","SPAI"
1948,0,"A1","SPCO4"
1948,0,"A1","SPCR"
1948,0,"A1","SPFL2"
1948,0,"A1","SPORO"
1948,0,"A1","UNKG"
1949,0,"A1","ARIST"
1949,0,"A1","ARTE3"
1949,0.0584107,"A1","BOER4"
1949,0,"A1","BOUTE"
1949,0,"A1","CYPER"
1949,0,"A1","DAPU7"
1949,0,"A1","ENDE"
1949,0,"A1","ERLE"
1949,0,"A1","MUAR"
1949,0,"A1","MUAR2"
1949,0,"A1","MUPO2"
1949,0,"A1","PAHA"
1949,0,"A1","PAOB"
1949,0,"A1","PLMU3"
1949,0,"A1","SCBR2"
1949,0,"A1","SELE6"
1949,0,"A1","SPAI"
1949,0,"A1","SPCO4"
1949,0,"A1","SPCR"
1949,0,"A1","SPFL2"
1949,0,"A1","SPORO"
1949,0,"A1","UNKG"
1950,0,"A1","ARIST"
1950,0,"A1","ARTE3"
1950,0.05157935,"A1","BOER4"
1950,0,"A1","BOUTE"
1950,0,"A1","CYPER"
1950,0,"A1","DAPU7"
1950,0,"A1","ENDE"
1950,0,"A1","ERLE"
1950,0,"A1","MUAR"
1950,0,"A1","MUAR2"
1950,0,"A1","MUPO2"
1950,0,"A1","PAHA"
1950,0,"A1","PAOB"
1950,0,"A1","PLMU3"
1950,0,"A1","SCBR2"
1950,0,"A1","SELE6"
1950,0,"A1","SPAI"
1950,0,"A1","SPCO4"
1950,0,"A1","SPCR"
1950,0,"A1","SPFL2"
1950,0,"A1","SPORO"
1950,0,"A1","UNKG"
1951,0,"A1","ARIST"
1951,0,"A1","ARTE3"
1951,0.05948325,"A1","BOER4"
1951,0,"A1","BOUTE"
1951,0,"A1","CYPER"
1951,0,"A1","DAPU7"
1951,0,"A1","ENDE"
1951,0,"A1","ERLE"
1951,0,"A1","MUAR"
1951,0,"A1","MUAR2"
1951,0,"A1","MUPO2"
1951,0,"A1","PAHA"
1951,0,"A1","PAOB"
1951,0,"A1","PLMU3"
1951,0,"A1","SCBR2"
1951,0,"A1","SELE6"
1951,0,"A1","SPAI"
1951,0,"A1","SPCO4"
1951,0,"A1","SPCR"
1951,0,"A1","SPFL2"
1951,0,"A1","SPORO"
1951,0,"A1","UNKG"
1952,0,"A1","ARIST"
1952,0,"A1","ARTE3"
1952,0.0017515,"A1","BOER4"
1952,0,"A1","BOUTE"
1952,0,"A1","CYPER"
1952,0,"A1","DAPU7"
1952,0,"A1","ENDE"
1952,0,"A1","ERLE"
1952,0,"A1","MUAR"
1952,0,"A1","MUAR2"
1952,0,"A1","MUPO2"
1952,0,"A1","PAHA"
1952,0,"A1","PAOB"
1952,0,"A1","PLMU3"
1952,0,"A1","SCBR2"
1952,0,"A1","SELE6"
1952,0,"A1","SPAI"
1952,0,"A1","SPCO4"
1952,0,"A1","SPCR"
1952,0,"A1","SPFL2"
1952,0,"A1","SPORO"
1952,2.5e-05,"A1","UNKG"
1953,0,"A1","ARIST"
1953,0,"A1","ARTE3"
1953,0.00381125,"A1","BOER4"
1953,0,"A1","BOUTE"
1953,0,"A1","CYPER"
1953,0,"A1","DAPU7"
1953,0,"A1","ENDE"
1953,0,"A1","ERLE"
1953,0,"A1","MUAR"
1953,0,"A1","MUAR2"
1953,0,"A1","MUPO2"
1953,0,"A1","PAHA"
1953,0,"A1","PAOB"
1953,0,"A1","PLMU3"
1953,0,"A1","SCBR2"
1953,0,"A1","SELE6"
1953,0,"A1","SPAI"
1953,0,"A1","SPCO4"
1953,0,"A1","SPCR"
1953,0,"A1","SPFL2"
1953,0,"A1","SPORO"
1953,1.875e-05,"A1","UNKG"
1954,0,"A1","ARIST"
1954,0,"A1","ARTE3"
1954,0.005871,"A1","BOER4"
1954,0,"A1","BOUTE"
1954,0,"A1","CYPER"
1954,0,"A1","DAPU7"
1954,0,"A1","ENDE"
1954,0,"A1","ERLE"
1954,0,"A1","MUAR"
1954,0,"A1","MUAR2"
1954,0,"A1","MUPO2"
1954,0,"A1","PAHA"
1954,0,"A1","PAOB"
1954,0,"A1","PLMU3"
1954,0,"A1","SCBR2"
1954,0,"A1","SELE6"
1954,0,"A1","SPAI"
1954,0,"A1","SPCO4"
1954,0,"A1","SPCR"
1954,0,"A1","SPFL2"
1954,0,"A1","SPORO"
1954,1.25e-05,"A1","UNKG"
1955,0,"A1","ARIST"
1955,0,"A1","ARTE3"
1955,0.00793075,"A1","BOER4"
1955,0,"A1","BOUTE"
1955,0,"A1","CYPER"
1955,0,"A1","DAPU7"
1955,0,"A1","ENDE"
1955,0,"A1","ERLE"
1955,0,"A1","MUAR"
1955,0,"A1","MUAR2"
1955,0,"A1","MUPO2"
1955,0,"A1","PAHA"
1955,0,"A1","PAOB"
1955,0,"A1","PLMU3"
1955,0,"A1","SCBR2"
1955,0,"A1","SELE6"
1955,0,"A1","SPAI"
1955,0,"A1","SPCO4"
1955,0,"A1","SPCR"
1955,0,"A1","SPFL2"
1955,0,"A1","SPORO"
1955,6.25e-06,"A1","UNKG"
1956,0,"A1","ARIST"
1956,0,"A1","ARTE3"
