PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 1319m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2020-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2021-Aug-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1918-05,2.27,8.4,18.1,27.7,-3.9,5.82,32.46
1918-06,24.73,16.9,25.9,34.9,3.2,10.98,47.94
1918-07,38.66,17.6,25.7,33.9,10.1,7.04,42.29
1918-08,70.61,15.9,24.4,32.8,11.2,4.36,36.67
1918-09,0.00,12.2,21.2,30.2,6.5,4.21,33.60
1918-10,25.41,6.7,15.7,24.8,3.1,2.29,24.14
1918-11,41.06,-0.5,7.3,15.0,-2.7,1.35,11.98
1918-12,19.57,-5.0,2.3,9.6,-5.5,0.78,7.92
1919-01,0.00,-6.0,2.4,10.8,-9.8,1.24,9.75
1919-02,0.00,-6.6,3.7,14.0,-7.3,0.72,12.12
1919-03,38.63,-0.1,9.1,18.4,-3.2,1.60,16.01
1919-04,20.86,5.6,15.0,24.4,-2.1,3.72,24.83
1919-05,7.16,9.1,18.6,28.0,-3.4,6.12,34.32
1919-06,5.79,13.2,22.7,32.2,2.1,7.54,40.16
1919-07,74.49,17.2,24.7,32.2,12.3,5.14,33.92
1919-08,60.48,16.6,25.2,33.8,10.7,5.77,39.85
1919-09,64.48,13.8,20.8,27.7,11.0,2.59,24.44
1919-10,16.82,7.9,15.6,23.2,3.8,2.84,20.50
1919-11,18.97,0.3,8.7,17.1,-3.5,1.82,14.71
1919-12,11.26,-2.5,5.9,14.3,-5.8,1.52,12.20
1920-01,18.50,-2.6,5.1,12.8,-4.1,1.10,10.37
1920-02,11.11,0.8,8.8,16.8,-2.9,1.85,13.78
1920-03,8.31,-0.5,8.8,18.1,-7.4,2.46,16.89
1920-04,0.51,3.0,12.2,21.4,-8.2,4.11,21.65
1920-05,21.24,8.6,18.9,29.2,-2.6,6.05,34.65
1920-06,38.90,13.2,22.5,31.8,4.6,6.25,37.61
1920-07,36.87,17.2,25.7,34.2,10.0,6.64,42.15
1920-08,79.27,15.9,23.3,30.8,11.6,4.24,31.27
1920-09,20.53,12.3,21.1,29.9,6.9,4.15,32.31
1920-10,52.26,4.4,14.0,23.7,0.9,2.05,22.74
1920-11,4.22,-1.2,8.0,17.1,-5.7,1.90,15.31
1920-12,0.00,-8.8,1.9,12.7,-8.5,0.59,11.27
1921-01,4.10,-3.8,5.9,15.5,-6.1,1.23,13.45
1921-02,3.93,-4.8,6.3,17.4,-7.5,1.18,15.92
1921-03,6.16,1.2,11.6,22.0,-6.0,2.79,22.14
1921-04,2.71,2.1,12.7,23.4,-7.8,3.50,24.90
1921-05,0.19,8.3,18.7,29.0,-2.6,5.46,34.40
1921-06,24.70,13.7,23.4,33.0,3.3,7.82,41.73
1921-07,42.56,17.5,24.8,32.1,12.3,5.42,33.66
1921-08,34.38,16.6,24.8,32.9,11.5,5.04,36.91
1921-09,37.51,14.5,22.4,30.4,8.0,5.43,32.65
1921-10,4.04,6.9,16.5,26.1,0.8,3.28,27.19
1921-11,4.86,-1.2,9.3,19.8,-5.5,1.81,18.83
1921-12,6.12,-1.7,6.7,15.1,-4.2,1.34,12.43
1922-01,7.88,-5.1,3.5,12.1,-6.5,0.96,10.19
1922-02,0.00,-2.7,7.1,17.0,-6.8,1.64,14.97
1922-03,1.82,-2.6,8.3,19.2,-9.1,2.11,18.83
1922-04,7.32,3.1,12.9,22.8,-5.0,3.43,23.11
1922-05,0.00,9.5,19.8,30.1,-2.9,7.31,37.28
1922-06,4.20,16.2,25.6,35.0,1.9,11.83,48.36
1922-07,9.50,18.6,27.1,35.6,9.8,8.56,45.58
1922-08,43.42,19.0,26.8,34.7,10.9,9.34,42.13
1922-09,26.85,14.5,22.4,30.3,8.1,5.62,32.50
1922-10,11.30,6.9,15.6,24.3,1.5,3.02,23.65
1922-11,11.55,-1.1,6.2,13.6,-3.9,1.43,11.06
1922-12,4.61,-2.6,5.1,12.7,-4.6,1.07,10.11
1923-01,9.13,-3.6,6.0,15.6,-3.6,0.68,12.77
1923-02,30.88,-0.7,5.8,12.3,-2.1,1.15,8.98
1923-03,18.32,-0.4,8.1,16.7,-6.3,2.30,14.78
1923-04,6.91,6.0,13.6,21.2,-5.4,4.93,20.94
1923-05,0.00,9.8,19.6,29.4,-3.3,6.66,35.80
1923-06,0.00,15.7,24.9,34.1,1.6,10.06,45.53
1923-07,19.94,17.6,26.2,34.8,10.8,6.34,42.29
1923-08,46.48,16.1,23.9,31.7,13.0,3.26,31.85
1923-09,41.19,11.9,20.4,28.8,8.5,2.87,28.08
1923-10,5.93,5.1,14.3,23.5,1.8,2.26,21.73
1923-11,17.22,0.8,8.1,15.4,-1.1,1.37,11.74
1923-12,38.03,-2.9,3.1,9.0,-3.3,0.77,6.66
1924-01,3.88,-5.9,3.2,12.3,-7.2,0.87,10.41
1924-02,3.28,-2.8,6.9,16.6,-6.3,1.48,14.64
1924-03,12.71,-1.3,7.9,17.1,-6.9,2.20,15.57
1924-04,4.50,4.3,13.4,22.6,-5.9,4.11,23.15
1924-05,4.50,9.4,18.9,28.5,-3.4,6.51,34.07
1924-06,2.52,15.8,26.8,37.8,1.3,10.19,57.82
1924-07,81.56,18.0,26.2,34.4,11.3,7.23,40.18
1924-08,10.22,16.7,26.2,35.8,10.6,5.54,45.06
1924-09,5.55,12.4,22.1,31.8,7.6,3.76,36.17
1924-10,6.83,5.6,16.1,26.7,1.3,2.32,28.10
1924-11,3.48,-1.3,10.0,21.2,-4.0,1.20,20.35
1924-12,9.54,-4.5,3.2,10.9,-6.7,1.17,9.12
1925-01,1.08,-9.3,1.6,12.5,-9.1,0.54,11.12
1925-02,6.21,-2.7,8.1,18.9,-5.1,1.14,17.26
1925-03,1.20,0.0,11.7,23.3,-6.5,2.32,24.45
1925-04,0.41,5.0,16.0,26.9,-6.0,4.43,31.29
1925-05,20.91,10.7,20.6,30.5,-1.0,6.60,37.60
1925-06,4.76,12.7,23.5,34.3,2.0,6.67,46.43
1925-07,46.64,17.8,26.7,35.7,11.0,6.57,44.78
1925-08,36.58,15.7,24.4,33.0,12.0,3.59,35.80
1925-09,21.68,12.4,21.9,31.5,9.2,2.70,34.00
1925-10,36.51,8.0,16.2,24.4,4.3,2.77,22.10
1925-11,0.00,-2.9,7.5,18.0,-5.4,1.20,16.13
1925-12,8.20,-7.1,2.2,11.5,-6.7,0.47,9.72
1926-01,13.94,-8.2,0.9,10.0,-5.9,0.14,8.13
1926-02,1.20,-4.1,7.2,18.5,-6.2,0.95,17.10
1926-03,37.27,0.4,9.0,17.6,-4.0,2.00,15.26
1926-04,12.32,5.3,13.9,22.5,-3.6,4.10,22.06
1926-05,56.13,8.6,18.1,27.7,0.9,4.48,30.20
1926-06,1.91,13.0,24.0,35.1,1.5,7.35,48.66
1926-07,110.39,16.8,24.8,32.8,11.5,5.31,36.07
1926-08,13.23,14.8,24.6,34.3,10.4,3.81,41.33
1926-09,79.70,15.1,23.1,31.1,10.1,4.74,32.91
1926-10,60.46,7.6,16.2,24.8,4.4,2.06,23.21
1926-11,1.28,-1.0,9.0,19.0,-4.1,1.40,17.09
1926-12,41.12,-3.3,4.4,12.2,-3.5,0.70,9.27
1927-01,0.62,-4.6,6.1,16.8,-6.2,0.95,15.29
1927-02,6.09,-0.1,9.2,18.4,-3.7,1.69,16.09
1927-03,11.72,-1.2,9.2,19.7,-5.7,1.74,18.72
1927-04,0.00,4.6,14.9,25.1,-6.8,4.43,27.97
1927-05,0.00,11.6,21.0,30.4,-3.6,8.24,38.79
1927-06,12.72,12.5,23.5,34.5,2.5,6.57,46.47
1927-07,39.23,18.2,26.8,35.3,10.4,8.01,44.35
1927-08,59.17,16.6,24.6,32.5,12.0,4.85,35.11
1927-09,60.91,13.8,21.8,29.7,8.9,4.35,30.43
1927-10,0.64,3.3,14.8,26.3,0.2,1.42,27.73
1927-11,0.00,-0.5,11.1,22.7,-3.3,1.22,22.53
