PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 4327ft
"Climate variables: ppt,tmean,vpdmax"
Spatial resolution: 4km
Period: 1915-01 - 2017-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),vpdmax (hPa)
1935-12,0.70,39.8,10.18
1936-01,1.18,39.8,11.39
1936-02,0.17,45.4,13.62
1936-03,0.00,50.7,19.62
1936-04,0.07,59.1,28.25
1936-05,0.76,68.4,35.04
1936-06,0.43,76.4,47.15
1936-07,1.21,78.3,39.48
1936-08,1.20,77.4,37.68
1936-09,2.82,70.0,26.18
1936-10,0.39,58.7,21.67
1936-11,0.86,45.5,13.63
1936-12,0.53,40.1,10.53
1937-01,0.00,35.1,9.34
1937-02,0.83,43.0,12.16
1937-03,0.55,46.9,15.15
1937-04,0.00,56.6,26.40
1937-05,0.93,65.7,34.66
1937-06,0.76,74.1,43.58
1937-07,0.41,79.2,44.59
1937-08,1.53,79.1,42.21
1937-09,1.36,71.8,31.23
1937-10,1.06,61.1,23.56
1937-11,0.01,49.0,18.07
1937-12,0.48,41.5,10.47
1938-01,0.60,40.0,10.07
1938-02,0.51,46.5,13.63
1938-03,0.19,50.6,18.40
1938-04,0.00,56.9,25.96
1938-05,0.05,65.0,34.43
1938-06,1.04,76.2,41.90
1938-07,4.91,75.6,34.08
1938-08,0.16,75.1,37.17
1938-09,3.18,69.3,28.81
1938-10,0.20,60.6,26.46
1938-11,0.19,42.9,15.87
1938-12,1.07,40.1,12.72
1939-01,1.24,39.1,11.17
1939-02,0.06,36.0,11.73
1939-03,0.29,49.7,20.41
1939-04,0.10,57.9,27.77
1939-05,0.03,65.7,38.18
1939-06,0.15,75.6,49.78
1939-07,1.19,78.5,41.59
1939-08,1.01,76.4,38.07
1939-09,2.06,72.0,34.11
1939-10,0.61,56.9,24.30
1939-11,0.42,46.4,14.89
1939-12,0.37,41.8,14.32
1940-01,0.48,36.9,10.65
1940-02,0.97,43.1,14.23
1940-03,0.05,50.8,21.17
1940-04,0.30,57.1,27.49
1940-05,1.10,67.0,36.69
1940-06,1.36,74.3,41.89
1940-07,1.46,79.1,42.82
1940-08,0.84,76.7,38.53
1940-09,1.94,71.9,32.74
1940-10,1.18,60.1,24.47
1940-11,0.69,45.5,13.74
1940-12,0.28,43.6,12.42
1941-01,1.60,39.7,8.54
1941-02,0.80,46.5,12.68
1941-03,1.08,48.7,14.72
1941-04,1.15,53.2,18.18
1941-05,0.88,66.1,30.88
1941-06,0.66,71.3,35.17
1941-07,1.83,77.9,38.09
1941-08,2.25,75.8,33.03
1941-09,4.63,71.2,28.38
1941-10,1.83,59.8,19.15
1941-11,0.45,48.5,16.05
1941-12,0.85,41.3,11.24
1942-01,0.26,40.6,11.83
1942-02,0.41,41.7,13.23
1942-03,0.00,46.3,17.16
1942-04,0.92,57.8,23.66
1942-05,0.00,64.6,38.05
1942-06,0.00,76.5,52.24
1942-07,1.44,79.6,43.72
1942-08,2.35,76.8,33.24
1942-09,1.35,70.0,30.17
1942-10,0.78,59.6,21.39
1942-11,0.00,51.4,20.90
1942-12,1.05,44.5,14.14
1943-01,0.24,43.4,13.93
1943-02,0.00,46.3,17.79
1943-03,0.11,50.7,21.47
1943-04,0.00,61.7,34.19
1943-05,0.16,68.6,41.02
1943-06,1.57,76.6,45.91
1943-07,2.13,79.2,40.36
1943-08,0.73,81.0,45.93
1943-09,1.19,71.4,35.47
1943-10,0.08,58.5,26.31
1943-11,1.03,45.4,18.35
1943-12,1.24,39.2,9.02
1944-01,0.52,36.4,10.79
1944-02,0.69,43.7,12.80
1944-03,0.10,47.9,18.79
1944-04,0.02,54.9,25.52
1944-05,0.24,64.0,34.79
1944-06,0.12,73.5,44.65
1944-07,2.12,78.9,43.58
1944-08,2.45,77.8,40.32
1944-09,1.37,69.8,30.52
1944-10,1.13,60.9,24.60
1944-11,1.26,46.8,14.64
1944-12,0.58,38.9,11.36
1945-01,0.42,40.4,11.88
1945-02,0.06,45.6,17.31
1945-03,0.29,48.3,19.31
1945-04,0.00,55.6,27.70
1945-05,0.00,66.1,40.25
1945-06,0.00,72.6,47.79
1945-07,1.20,79.3,41.55
1945-08,1.98,79.2,41.15
1945-09,0.11,72.2,38.84
1945-10,1.75,60.1,21.98
1945-11,0.00,47.1,20.34
1945-12,0.15,37.7,11.73
1946-01,1.05,37.3,9.41
1946-02,0.00,41.8,17.37
1946-03,0.02,50.2,21.81
1946-04,0.00,61.6,32.13
1946-05,0.31,64.8,34.06
1946-06,0.19,77.6,49.78
1946-07,1.89,79.1,42.90
1946-08,2.75,78.6,38.77
1946-09,2.24,73.5,31.91
1946-10,0.78,60.2,23.25
1946-11,0.40,45.4,15.60
1946-12,0.46,42.6,12.53
1947-01,0.73,36.6,9.06
1947-02,0.04,43.9,15.56
1947-03,0.35,50.1,18.64
1947-04,0.00,57.0,26.11
1947-05,0.34,68.5,38.29
1947-06,0.56,74.6,46.56
1947-07,0.80,80.4,46.56
1947-08,2.36,77.8,36.16
1947-09,0.10,71.7,38.29
1947-10,0.13,61.5,28.60
1947-11,0.57,44.4,13.13
1947-12,0.44,36.9,9.86
1948-01,0.35,36.8,12.63
1948-02,1.30,43.6,13.86
1948-03,0.03,46.1,15.89
1948-04,0.07,60.2,31.43
1948-05,0.19,67.6,39.63
1948-06,1.01,77.9,49.18
1948-07,0.78,80.8,48.90
1948-08,1.16,78.7,42.50
1948-09,0.55,72.5,37.76
1948-10,0.40,59.8,21.72
1948-11,0.00,41.9,14.55
1948-12,1.15,42.8,11.45
1949-01,1.66,37.2,6.20
1949-02,0.47,43.0,13.58
1949-03,0.07,51.4,21.13
1949-04,0.10,57.5,25.48
1949-05,0.57,65.9,36.63
1949-06,0.33,75.1,44.63
1949-07,2.35,79.7,40.25
1949-08,1.07,77.4,42.61
1949-09,2.51,71.7,30.13
1949-10,0.72,57.7,21.59
1949-11,0.00,49.4,21.25
1949-12,0.53,38.7,10.88
1950-01,0.06,42.2,13.37
1950-02,0.19,46.3,17.62
1950-03,0.00,51.2,23.40
1950-04,0.00,60.6,31.84
1950-05,0.00,65.1,37.22
1950-06,0.45,77.6,51.81
1950-07,3.03,78.0,37.08
1950-08,0.96,75.8,42.06
1950-09,1.59,70.0,32.87
1950-10,1.45,64.6,31.14
1950-11,0.00,47.8,20.94
1950-12,0.00,42.3,17.19
1951-01,0.28,39.5,13.43
1951-02,0.15,42.4,14.91
1951-03,0.42,49.8,19.70
1951-04,0.56,57.5,25.33
1951-05,0.05,66.9,40.08
1951-06,0.00,73.6,52.84
1951-07,0.43,83.2,54.06
1951-08,1.00,79.5,43.27
1951-09,0.17,73.8,44.67
1951-10,1.11,61.5,28.65
1951-11,0.07,46.6,15.39
1951-12,0.36,42.2,11.76
1952-01,0.00,44.7,14.12
1952-02,0.49,42.0,13.11
1952-03,0.56,46.4,15.78
1952-04,0.45,58.3,23.81
1952-05,0.49,67.3,35.65
1952-06,1.62,78.8,49.63
1952-07,1.48,79.0,43.64
1952-08,1.12,79.4,44.89
1952-09,0.33,71.1,40.53
1952-10,0.00,59.7,32.73
1952-11,0.57,44.3,15.15
1952-12,0.23,37.5,10.42
1953-01,0.00,42.7,16.09
1953-02,0.60,40.9,15.09
1953-03,0.36,51.2,19.63
1953-04,0.33,60.0,27.84
1953-05,0.00,63.3,34.71
1953-06,0.51,78.5,55.50
1953-07,0.98,80.7,46.73
1953-08,0.40,77.8,45.11
1953-09,0.00,71.4,43.38
1953-10,0.42,60.1,27.49
1953-11,0.00,47.8,18.09
1953-12,0.07,34.4,11.03
1954-01,0.08,41.2,14.31
1954-02,0.00,46.6,20.04
1954-03,0.06,49.7,20.83
1954-04,0.00,63.9,33.61
1954-05,0.78,67.6,34.95
1954-06,0.00,76.3,48.55
1954-07,0.78,79.9,45.15
1954-08,1.93,77.1,35.65
1954-09,1.85,74.6,37.31
1954-10,1.91,63.5,26.26
1954-11,0.00,49.0,19.42
1954-12,0.07,41.0,14.27
1955-01,0.83,38.1,9.29
1955-02,0.00,39.5,14.84
1955-03,0.33,49.5,21.32
1955-04,0.00,56.9,28.40
1955-05,0.13,63.5,33.15
1955-06,0.12,72.6,47.30
1955-07,3.68,76.2,35.24
1955-08,0.71,76.0,34.04
1955-09,0.11,69.3,37.28
1955-10,1.43,59.3,28.16
1955-11,0.05,46.0,18.31
1955-12,0.00,41.9,15.07
1956-01,0.13,43.2,14.97
1956-02,0.31,40.7,14.20
1956-03,0.00,51.1,24.63
1956-04,0.00,54.9,27.56
1956-05,0.00,67.5,44.01
1956-06,0.13,78.3,53.22
1956-07,1.94,76.2,43.91
1956-08,0.84,73.6,40.89
1956-09,0.00,68.5,44.25
1956-10,0.07,60.4,31.43
1956-11,0.00,42.3,17.50
1956-12,0.20,39.2,12.31
1957-01,0.34,45.0,12.93
1957-02,0.54,52.3,18.91
1957-03,0.29,50.6,18.79
1957-04,0.21,56.6,25.83
1957-05,0.18,63.5,31.07
1957-06,0.05,75.4,48.91
1957-07,1.54,80.4,48.77
1957-08,4.46,75.7,35.72
1957-09,0.24,68.7,35.84
1957-10,1.81,58.7,18.58
1957-11,0.75,45.7,13.68
1957-12,0.00,38.5,13.44
1958-01,0.80,36.2,10.06
1958-02,0.54,45.4,16.00
1958-03,2.08,46.6,14.39
1958-04,0.53,56.2,27.94
1958-05,0.42,66.1,36.73
1958-06,0.64,77.9,51.87
1958-07,0.99,79.0,53.20
1958-08,1.87,77.1,45.73
1958-09,3.81,69.3,30.24
1958-10,2.05,57.5,20.23
1958-11,0.15,48.4,16.89
1958-12,0.00,43.1,15.84
1959-01,0.00,39.3,15.12
1959-02,0.12,42.7,15.54
1959-03,0.00,46.7,22.32
1959-04,0.04,59.2,29.33
1959-05,0.10,64.4,38.11
1959-06,0.09,75.8,49.19
1959-07,1.37,78.9,42.73
1959-08,3.71,77.2,34.47
1959-09,0.00,70.9,40.00
1959-10,0.54,60.3,27.26
1959-11,0.00,47.5,17.47
1959-12,0.33,41.5,11.81
1960-01,0.75,36.8,9.68
1960-02,0.08,39.8,13.31
1960-03,0.05,52.9,24.33
1960-04,0.00,58.5,31.74
1960-05,0.00,64.0,37.10
1960-06,0.58,75.8,52.08
1960-07,1.74,74.4,40.01
1960-08,1.42,75.2,41.27
1960-09,0.19,71.7,35.15
1960-10,0.57,59.1,24.20
1960-11,0.09,47.5,18.23
1960-12,2.00,31.6,6.32
1961-01,0.61,38.8,9.86
1961-02,0.00,44.7,16.25
1961-03,0.14,50.4,21.08
1961-04,0.00,57.7,28.95
1961-05,0.00,66.1,40.03
1961-06,0.69,75.2,46.93
1961-07,2.06,77.6,46.16
1961-08,3.14,76.0,39.47
1961-09,2.81,68.8,30.42
1961-10,0.01,57.5,29.36
1961-11,1.57,44.6,12.05
1961-12,0.77,41.5,10.98
1962-01,0.64,37.1,10.47
1962-02,0.39,48.1,17.62
1962-03,0.10,45.1,16.95
1962-04,0.37,61.0,30.42
1962-05,0.00,65.6,38.40
1962-06,0.08,72.7,45.74
1962-07,4.51,76.4,36.01
1962-08,0.54,77.2,47.24
1962-09,3.18,70.1,27.95
1962-10,1.30,60.9,24.91
1962-11,0.23,50.5,18.49
1962-12,1.11,41.9,10.50
1963-01,0.00,37.5,12.46
1963-02,0.39,46.6,18.32
1963-03,0.00,50.2,21.82
1963-04,0.08,59.9,30.69
1963-05,0.00,67.7,38.19
1963-06,0.18,74.0,47.24
1963-07,0.70,82.1,50.55
1963-08,1.88,76.4,35.72
1963-09,1.35,71.2,30.58
1963-10,0.73,62.9,31.24
1963-11,0.36,49.8,19.35
1963-12,0.00,37.3,13.69
1964-01,0.00,34.2,11.52
1964-02,0.12,35.0,14.28
1964-03,0.41,46.7,20.09
1964-04,0.13,55.9,29.29
1964-05,0.54,66.3,39.52
1964-06,0.00,73.6,48.21
1964-07,1.14,79.2,48.17
1964-08,2.03,75.6,42.74
1964-09,1.73,70.0,30.24
1964-10,0.05,58.0,29.44
1964-11,0.00,47.2,19.56
1964-12,0.13,39.6,12.89
1965-01,0.28,42.8,14.05
1965-02,0.38,41.5,14.35
1965-03,0.33,47.9,19.47
1965-04,0.00,58.2,30.16
1965-05,0.10,66.3,37.95
1965-06,0.51,72.9,46.41
1965-07,1.15,79.5,46.38
1965-08,1.96,78.1,42.90
1965-09,1.51,71.1,33.00
1965-10,0.47,59.5,30.20
1965-11,0.00,52.3,21.94
1965-12,1.36,41.1,10.44
1966-01,0.40,35.8,10.49
1966-02,0.24,38.8,13.16
1966-03,0.31,50.0,23.68
1966-04,0.29,59.2,29.85
1966-05,0.07,68.5,40.77
1966-06,2.57,75.0,47.13
1966-07,0.84,82.0,49.17
1966-08,2.18,77.2,37.48
1966-09,1.25,70.4,30.90
1966-10,0.23,58.0,27.35
1966-11,0.08,50.9,21.24
1966-12,0.06,38.7,13.59
1967-01,0.00,37.1,15.43
1967-02,0.32,44.5,18.55
1967-03,0.05,55.2,28.15
1967-04,0.00,60.0,32.00
1967-05,0.42,64.3,38.68
1967-06,1.46,75.3,46.59
1967-07,0.74,79.5,45.76
1967-08,1.91,76.1,38.82
1967-09,1.70,70.6,30.59
1967-10,0.00,59.7,30.11
1967-11,1.02,49.7,19.24
1967-12,1.00,38.5,9.19
1968-01,0.55,40.2,10.93
1968-02,0.72,46.9,15.24
1968-03,1.06,48.8,17.00
1968-04,0.18,54.9,24.59
1968-05,0.00,64.9,37.77
1968-06,0.00,75.2,50.38
1968-07,2.34,76.5,36.85
1968-08,2.37,74.1,32.33
1968-09,0.84,68.4,35.93
1968-10,0.26,60.3,31.70
1968-11,1.23,46.8,16.18
1968-12,0.38,37.8,12.49
1969-01,0.44,44.1,14.14
1969-02,0.15,43.5,15.43
1969-03,0.04,44.2,17.90
1969-04,0.04,59.8,32.06
1969-05,0.56,66.8,39.99
1969-06,0.44,75.4,48.30
1969-07,2.58,81.1,44.80
1969-08,1.62,81.0,47.60
1969-09,1.18,71.4,32.40
1969-10,1.11,60.8,24.61
1969-11,0.14,47.1,15.70
1969-12,1.40,41.5,12.55
1970-01,0.00,38.2,13.05
1970-02,0.36,43.7,14.95
1970-03,0.53,46.7,16.61
1970-04,0.00,54.3,26.56
1970-05,0.00,65.2,38.44
1970-06,0.11,73.9,44.59
1970-07,2.92,79.6,43.34
1970-08,0.69,77.8,41.49
1970-09,0.33,69.8,32.57
1970-10,0.80,54.2,21.70
1970-11,0.00,46.6,19.62
1970-12,0.48,43.1,15.38
1971-01,0.11,39.6,14.47
1971-02,0.00,43.0,16.97
1971-03,0.00,51.5,24.09
1971-04,0.35,56.2,26.25
1971-05,0.00,64.6,35.92
1971-06,0.24,75.0,48.81
1971-07,1.32,79.0,45.39
1971-08,1.85,75.6,33.75
1971-09,1.13,71.5,35.83
1971-10,1.66,58.1,21.60
1971-11,0.64,48.1,16.51
1971-12,1.00,39.7,9.58
1972-01,0.34,40.4,14.24
1972-02,0.05,43.1,16.99
1972-03,0.00,55.9,27.84
1972-04,0.00,57.2,32.32
1972-05,0.50,64.4,37.95
1972-06,1.69,74.7,41.12
1972-07,1.95,79.1,43.36
1972-08,3.73,75.6,33.42
1972-09,1.01,69.5,27.39
1972-10,2.80,62.5,22.84
1972-11,0.62,42.4,12.86
1972-12,0.71,40.1,12.32
1973-01,1.09,36.2,9.61
1973-02,1.31,41.4,10.12
1973-03,0.45,47.1,15.52
1973-04,0.00,51.5,22.54
1973-05,0.39,63.3,33.55
1973-06,0.87,72.5,44.47
1973-07,2.35,77.4,40.29
1973-08,2.04,75.1,41.47
1973-09,0.00,70.4,39.78
1973-10,0.12,59.5,31.68
1973-11,0.03,48.9,21.95
1973-12,0.00,39.0,16.15
1974-01,0.75,40.5,13.21
1974-02,0.00,40.7,16.06
1974-03,0.09,55.0,26.02
1974-04,0.00,58.2,28.99
1974-05,0.00,68.2,40.87
1974-06,0.11,77.3,54.63
1974-07,4.47,77.0,38.80
1974-08,2.88,73.1,32.86
1974-09,2.43,67.7,29.25
1974-10,3.27,60.1,20.29
1974-11,0.34,46.6,15.19
1974-12,0.80,36.5,10.21
1975-01,0.40,38.2,11.57
1975-02,0.44,42.2,13.97
1975-03,0.40,48.3,19.63
1975-04,0.02,52.0,24.59
1975-05,0.08,61.4,34.37
1975-06,0.00,73.2,50.90
1975-07,2.52,77.1,38.12
1975-08,1.15,77.1,43.08
1975-09,2.86,68.7,29.65
1975-10,0.47,58.6,28.36
1975-11,0.39,46.5,20.38
1975-12,0.31,38.6,13.19
1976-01,0.13,37.0,13.00
1976-02,0.60,47.7,17.95
1976-03,0.00,50.1,21.50
1976-04,0.45,58.5,28.36
1976-05,0.62,64.6,34.09
1976-06,0.99,74.6,47.16
1976-07,1.60,76.4,38.74
1976-08,0.90,75.7,43.40
1976-09,3.10,68.3,28.74
1976-10,1.09,54.5,21.28
1976-11,0.72,42.8,14.97
1976-12,0.19,35.3,11.01
1977-01,0.68,39.4,11.25
1977-02,0.12,44.1,16.02
1977-03,0.35,46.0,18.26
1977-04,0.26,57.4,26.53
1977-05,0.26,64.6,36.10
1977-06,0.16,77.2,50.55
1977-07,1.89,78.6,44.25
1977-08,1.99,79.3,44.37
1977-09,0.35,73.7,39.15
1977-10,1.05,61.4,25.97
1977-11,0.20,48.5,20.98
1977-12,0.29,43.7,15.08
1978-01,0.57,40.7,12.01
1978-02,0.61,42.8,13.44
1978-03,0.15,51.7,21.65
1978-04,0.03,59.5,32.93
1978-05,1.00,65.5,38.04
1978-06,1.30,76.5,53.10
1978-07,0.80,81.7,51.57
1978-08,2.95,75.5,39.44
1978-09,2.10,68.7,26.09
1978-10,1.52,60.2,25.53
1978-11,2.85,50.3,12.31
1978-12,0.89,38.3,9.72
1979-01,0.96,36.4,8.10
1979-02,0.33,41.2,12.90
1979-03,0.00,47.1,18.96
1979-04,0.33,55.1,26.49
1979-05,0.63,63.1,30.19
1979-06,0.39,72.8,42.82
1979-07,1.45,79.0,48.63
1979-08,2.96,73.1,36.03
1979-09,1.49,69.6,32.64
1979-10,0.00,57.5,30.55
1979-11,0.00,40.7,14.81
1979-12,1.10,37.5,12.31
1980-01,0.90,42.2,11.84
1980-02,0.94,43.5,13.96
1980-03,0.09,48.4,19.09
1980-04,0.24,53.6,25.95
1980-05,0.91,63.0,33.40
1980-06,0.00,76.8,59.99
1980-07,0.51,82.0,52.78
1980-08,1.74,77.5,41.94
1980-09,2.09,70.7,32.01
1980-10,0.41,56.3,23.00
1980-11,0.18,45.9,17.57
1980-12,0.32,41.4,15.25
1981-01,0.55,40.3,11.08
1981-02,0.05,41.6,17.34
1981-03,0.42,48.1,17.22
1981-04,0.19,61.1,28.71
